,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
135,Perhaps Love,spotify:track:1XeCCcv0C9vD6Z8P9E8uhG,51,1984-11-01,0.393,0.248,9,-10.942,1,0.0363,0.794,1.88e-06,0.0953,0.203,80.755,1XeCCcv0C9vD6Z8P9E8uhG,177307,4
136,Sabor A Mí,spotify:track:0odqQitHymkZswCqGaB58Q,25,2018-10-12,0.469,0.431,0,-5.049,1,0.0393,0.836,0.000896,0.094,0.474,92.779,0odqQitHymkZswCqGaB58Q,191893,4
137,Guantanamera,spotify:track:02wsrCdwMsXjsBXuVtSonx,9,2018-10-12,0.597,0.521,0,-8.187,1,0.0692,0.632,0.74,0.119,0.247,126.627,02wsrCdwMsXjsBXuVtSonx,175280,4
138,Gracias A La Vida,spotify:track:6ymHHcvWL8vqh5tzQVP9AB,14,2018-10-12,0.463,0.332,4,-10.287,0,0.0469,0.88,0.00164,0.119,0.239,108.298,6ymHHcvWL8vqh5tzQVP9AB,266427,4
139,Corazón Partio,spotify:track:2YKpikIUrPvznHwdIimQX2,39,2018-05-18,0.607,0.763,0,-6.23,1,0.12,0.321,0.0,0.068,0.753,80.022,2YKpikIUrPvznHwdIimQX2,356467,4
140,Things to Come,spotify:track:1TtA5vJwPQ1lAgrtnqoBui,17,2015-08-21,0.396,0.928,1,-5.046,1,0.189,0.72,0.00393,0.962,0.562,163.984,1TtA5vJwPQ1lAgrtnqoBui,544521,4
141,Symphony in Riffs,spotify:track:1fD6h9YjHsVYoW0ZnB6FhK,21,2015-08-21,0.568,0.628,5,-5.975,0,0.0334,0.578,0.00357,0.817,0.693,91.9,1fD6h9YjHsVYoW0ZnB6FhK,507518,4
142,Como Fue (feat. Bobby Carcassés),spotify:track:23DTCcj8R5BHYgsprq5ngD,36,2015-08-21,0.446,0.527,10,-8.009,1,0.049,0.795,0.000709,0.722,0.591,81.5,23DTCcj8R5BHYgsprq5ngD,417303,4
143,Baa Baa Black Sheep,spotify:track:0Fre4xhWOQZz9TWo3XJJFJ,22,2015-08-21,0.682,0.334,2,-8.349,0,0.0297,0.601,0.000126,0.624,0.296,104.726,0Fre4xhWOQZz9TWo3XJJFJ,700200,4
144,Limbo Jazz,spotify:track:7BqMWKWiXqIOgnhP1A2KuX,17,2015-08-21,0.489,0.533,8,-7.99,1,0.0536,0.661,0.000114,0.687,0.809,168.104,7BqMWKWiXqIOgnhP1A2KuX,398855,4
145,"Theme From ""Mr. Broadway""",spotify:track:2RpXpY7tp5RjbKopUuwlix,32,1966,0.6,0.47,5,-13.34,0,0.0291,0.63,7.03e-05,0.28,0.879,110.739,2RpXpY7tp5RjbKopUuwlix,146707,3
146,Capri,spotify:track:6UiniCKjR5vBRKqv1bDDct,9,2014-01-01,0.33,0.802,3,-3.639,1,0.0379,0.839,3.85e-06,0.27,0.853,120.053,6UiniCKjR5vBRKqv1bDDct,222040,4
147,The Blues Walk,spotify:track:10pXPSiE2qtzLMyeic3Vdm,33,1954-12-01,0.526,0.71,10,-9.846,1,0.0455,0.662,0.0998,0.234,0.838,129.588,10pXPSiE2qtzLMyeic3Vdm,414267,4
148,The Silver Spear/The Earl's Chair/The Musical Priest (Reels),spotify:track:6HZRQDY5nOdg75LFd1TvNV,30,2006-03-15,0.548,0.667,7,-8.382,1,0.0532,0.699,0.000199,0.111,0.879,123.031,6HZRQDY5nOdg75LFd1TvNV,270600,4
149,The Pitnacree Ferryman,spotify:track:1fmkPCs9MkbYDN3VQDitV0,30,2011-03-15,0.437,0.548,2,-7.103,1,0.0345,0.536,0.474,0.0573,0.783,102.684,1fmkPCs9MkbYDN3VQDitV0,243347,4
150,The Cullybacky Hop,spotify:track:3A6fEGLvQbLdcwTQKJBykd,29,2014-07-15,0.321,0.561,11,-9.5,0,0.0386,0.0773,0.0,0.215,0.779,116.036,3A6fEGLvQbLdcwTQKJBykd,292280,4
151,Camariñas,spotify:track:5XUO5vZRvZZjmVqow2RPwg,0,2017-10-27,0.368,0.206,6,-13.503,1,0.0299,0.941,1.15e-05,0.11,0.143,127.296,5XUO5vZRvZZjmVqow2RPwg,260547,3
152,The Dregs of Birch,spotify:track:23ieo9PZWzZwI0f7CHAFpf,14,2018-06-08,0.45,0.326,10,-9.408,1,0.0298,0.906,0.000444,0.218,0.376,138.413,23ieo9PZWzZwI0f7CHAFpf,231827,4
153,Los días felices,spotify:track:3MMCBN8S3HRrDkJ1flKQQ8,48,2017-11-24,0.224,0.608,4,-4.383,0,0.0303,0.0927,0.0,0.246,0.126,165.235,3MMCBN8S3HRrDkJ1flKQQ8,228613,4
154,Serenata huasteca,spotify:track:2y3C3tWoNictZWuOuUtDuO,56,2017-11-24,0.612,0.673,4,-4.392,0,0.0343,0.245,0.0,0.129,0.723,139.963,2y3C3tWoNictZWuOuUtDuO,175920,3
155,Qué bonita es mi tierra,spotify:track:3Evfk0c7TBJY8TSDORcj24,50,2017-11-24,0.25,0.597,0,-4.081,1,0.0362,0.216,0.0,0.25,0.534,163.595,3Evfk0c7TBJY8TSDORcj24,173000,5
156,"Recuérdame (Solo) - Inspirado en ""Coco""",spotify:track:1G5rrPTG7XJ1q70AthJSn9,38,2017-10-27,0.635,0.498,0,-8.8,1,0.0428,0.33,0.0,0.397,0.716,84.989,1G5rrPTG7XJ1q70AthJSn9,163947,4
157,Eanáir,spotify:track:5CbCgXCMti2YOgcisqmdWC,27,2014-07-15,0.271,0.604,2,-7.749,1,0.0399,0.227,0.0,0.117,0.526,94.207,5CbCgXCMti2YOgcisqmdWC,329800,4
158,Un Derecho de Nacimiento,spotify:track:5iRyYvj7aDYImzxBTDeN3J,39,2020-05-08,0.697,0.506,9,-8.406,0,0.038,0.444,1.66e-06,0.0589,0.847,87.606,5iRyYvj7aDYImzxBTDeN3J,321120,4
159,No Te Vayas Todavía,spotify:track:4vcLiP9SYKTJMkc2YJrTks,33,2019-11-22,0.523,0.639,5,-6.761,1,0.0876,0.569,0.0,0.198,0.529,171.203,4vcLiP9SYKTJMkc2YJrTks,217467,4
160,Resistiré,spotify:track:0XFQb7pNfT90A7fRxjMWgz,69,2020-04-16,0.45,0.878,9,-4.592,1,0.0827,0.0071,0.0,0.0908,0.744,199.844,0XFQb7pNfT90A7fRxjMWgz,252443,4
161,All Of Me,spotify:track:04Oe75LaaK3gqL0qTsJuZG,5,2020-04-24,0.529,0.176,7,-17.229,1,0.0398,0.759,0.709,0.0529,0.791,150.108,04Oe75LaaK3gqL0qTsJuZG,150773,4
162,It's All Right With Me,spotify:track:6cyATlaHAxGtx40j9B1smc,14,2003-09-23,0.348,0.809,0,-0.94,1,0.076,0.625,0.0,0.0808,0.388,200.681,6cyATlaHAxGtx40j9B1smc,284733,3
163,Mozart's 40th Symphony in Gm,spotify:track:6d7tFrgzNYtI95KcFIdDse,18,2003-09-23,0.482,0.501,7,-4.336,0,0.0376,0.852,0.667,0.115,0.276,114.068,6d7tFrgzNYtI95KcFIdDse,487960,4
164,Abide With Me - 'Tis Eventide,spotify:track:0lqkX3ia5Z3lol5uLOS8UU,35,2006-05-26,0.162,0.0498,4,-30.396,1,0.0409,0.993,0.17,0.175,0.0801,83.544,0lqkX3ia5Z3lol5uLOS8UU,307067,3
165,El Viajero,spotify:track:4qb8QUWJCrW3hHuUcSSvmC,60,2005-09-06,0.585,0.547,0,-5.496,1,0.0293,0.113,0.0,0.0768,0.591,85.937,4qb8QUWJCrW3hHuUcSSvmC,216920,3
166,"Who Lives, Who Dies, Who Tells Your Story",spotify:track:7EsSVPxaYoAZjQwhspJBs2,63,2015-09-25,0.353,0.326,2,-9.687,1,0.0901,0.777,0.0,0.0904,0.156,75.5,7EsSVPxaYoAZjQwhspJBs2,217229,4
167,Los Amigos,spotify:track:6wJM5ya5s7KSmaR5ufVg0h,40,2007,0.591,0.404,5,-5.08,1,0.0311,0.313,0.0,0.237,0.579,80.045,6wJM5ya5s7KSmaR5ufVg0h,216453,4
168,Tú Sí Sabes Quererme (feat. Los Macorinos),spotify:track:6p3yxt0uJJshAS3CT0znQg,66,2017-05-05,0.664,0.46,1,-10.974,0,0.105,0.782,3.19e-06,0.176,0.793,170.057,6p3yxt0uJJshAS3CT0znQg,244933,4
169,La Tierra Más Mexicana / El Enamorado,spotify:track:6tugM7ZuMTsKnXZyWoMM4v,17,2016-02-14,0.527,0.641,0,-4.866,1,0.0622,0.752,0.0,0.153,0.861,86.148,6tugM7ZuMTsKnXZyWoMM4v,219837,3
170,Mexicana Hermosa (feat. Carlos Rivera) - Versión Mariachi,spotify:track:1Lrv9yMJH6bM8OOUmiZ6xe,41,2017-08-18,0.407,0.377,4,-7.191,1,0.0346,0.558,0.0,0.216,0.564,146.763,1Lrv9yMJH6bM8OOUmiZ6xe,250107,3
171,Bésame Mucho,spotify:track:0PCkKiyG8AV3AQYd9SwURQ,16,2014-12-19,0.244,0.336,9,-6.863,0,0.0271,0.167,1.34e-05,0.11,0.204,175.748,0PCkKiyG8AV3AQYd9SwURQ,354733,4
172,Huapango de Moncayo,spotify:track:6sRcmTzalGYAERH18Nkqo6,55,2016-07-06,0.3,0.546,7,-5.771,1,0.0316,0.0921,0.824,0.529,0.528,92.532,6sRcmTzalGYAERH18Nkqo6,512627,3
173,Por Ti Seré,spotify:track:0EYfLInbM3V8LxvuzINCIf,0,2012-10-01,0.319,0.518,10,-2.544,1,0.031,0.466,0.000197,0.104,0.377,143.862,0EYfLInbM3V8LxvuzINCIf,214000,4
174,Camino Real De Colima,spotify:track:1HIiqqTuDrlkN8ZZHScLv7,3,2014-08-22,0.585,0.91,9,-3.173,1,0.0432,0.327,8.3e-05,0.0739,0.833,84.951,1HIiqqTuDrlkN8ZZHScLv7,166034,3
175,Mi Ciudad,spotify:track:6uSaThhu89usOfaPV9usuZ,0,2006-10-14,0.336,0.471,0,-5.216,1,0.0348,0.163,0.924,0.252,0.525,135.202,6uSaThhu89usOfaPV9usuZ,212500,4
176,Sones De Veracruz,spotify:track:089fxa2mvXet4WV830D5VO,8,2007-10-16,0.459,0.813,9,-4.77,0,0.0375,0.332,0.00363,0.779,0.714,108.71,089fxa2mvXet4WV830D5VO,523500,3
177,El Nuevo Huapango,spotify:track:1jIaL2o9vaFN6OjsUScPaK,1,2012-10-01,0.444,0.689,9,-5.048,0,0.0401,0.154,0.149,0.158,0.339,111.407,1jIaL2o9vaFN6OjsUScPaK,528500,4
178,El Milagro De Tus Ojos,spotify:track:3TAbxrh3bfCQJu3258eW95,21,2007-10-16,0.576,0.494,7,-5.363,0,0.039,0.279,0.0,0.444,0.56,142.435,3TAbxrh3bfCQJu3258eW95,144000,4
179,Caminos De Michoacán,spotify:track:4WQyqFiRA9Ey2qlb7sRmgR,22,2007-10-16,0.576,0.527,7,-3.435,1,0.0336,0.589,0.00302,0.544,0.871,126.5,4WQyqFiRA9Ey2qlb7sRmgR,210000,4
180,Fly Me To The Moon (In Other Words),spotify:track:5b7OgznPJJr1vHNYGyvxau,71,1962-12-10,0.668,0.26,7,-14.256,1,0.0523,0.453,0.0,0.0621,0.368,119.416,5b7OgznPJJr1vHNYGyvxau,147000,4
181,Pennies From Heaven,spotify:track:4JvJYTZkgm6yUUl4H8sk4C,43,1962-12-10,0.548,0.266,8,-12.463,1,0.0538,0.655,0.0,0.0703,0.702,123.815,4JvJYTZkgm6yUUl4H8sk4C,207200,4
182,Un Siglo Sin Ti,spotify:track:5NSJ0qoxwbO26tVvqpL4N2,69,1998,0.611,0.674,7,-6.143,0,0.0279,0.0961,0.0,0.129,0.261,133.906,5NSJ0qoxwbO26tVvqpL4N2,281027,4
